codigo_contrato,codigo_expediente,proveedor,titulo_contrato,descripcion,contract_type,work_category_id,tipo_contratacion,tipo_expediente,importe,moneda,fecha,fecha_fin,project_code,ff_fecha_inicio,ff_fecha_fin
1318536,1243907,Maro Cia Constructora Sa de Cv,Io-009000938-E233-2016,"Reconstrucción de la Base Hidráulica y Carpeta Asfáltica Con Mezcla En Caliente, delCamino: Las Prietas - el Roble, delKm. 0+000 Al Km. 4+000 Con Una Meta de 4.0 Km., En el Municipio de Tierra Blanca, En el Estado de Veracruz",4.Obra Pública,8.0,Obra Pública,04. Invitación a Cuando Menos Tres Personas LOPSRM,10563451.18,MXN,2017-02-15 06:00:00.000000 +00:00,2017-08-14 04:59:00.000000 +00:00,tender_1117833,2017-02-15,2017-08-14
1327838,1243952,Cob Sa de Cv,Io-009000938-E244-2016,"Trabajos de Conservación Rutinaria Anual 2017, En 63.0  Kms., de Red Secundaria Federal, Km. 27+000 Al Km. 45+400, Km. 0+000 Al Km. 5+300, Km. 0+000 Al Km. 1+800, Km. 0+000 Al Km. 24+000 y Km. 220+000 Al Km. 233+500, Tramos: Poza Rica - San Andrés, Papantla - el Chote, Ramal Papantla, Ramal Zapotalillo - la Unión y Tihuatlán  Cañada Rica, Carreteras: Poza Rica - Veracruz y Pachuca  Tuxpan, En el Estado de Veracruz",4.Obra Pública,8.0,Obra Pública,04. Invitación a Cuando Menos Tres Personas LOPSRM,1900809.95,MXN,2017-02-15 06:00:00.000000 +00:00,2018-01-01 05:59:00.000000 +00:00,tender_1117876,2017-02-15,2018-01-01
1329684,1251655,F Ruiz E Hijos Sa de Cv,Adquisición de Pemex Diésel,"Invitación a Cuando Menos Tres Personas Nacional Electrónica.  
Adquisición de Pemex Diésel, Para el Ejercicio Fiscal 2017.",1.Adquisiciones,5.0,Adquisiciones,03. Invitación a Cuando Menos Tres Personas LAASSP,254413.432,MXN,2017-02-15 06:00:00.000000 +00:00,2018-06-12 04:59:00.000000 +00:00,tender_1125182,2017-02-15,2018-06-12
1329253,1248687,Inovamedik Sa de Cv,Servicio Integral de Anestesia,"Servicio de Anestesia Para Los Hospitales Generales En Las Ciudades de Saltillo, Torreon y Piedras Negras, Coahuila Para Los Servicios de Salud de Coahuila de Zaragoza",3.Servicios,7.0,Servicios,01. Licitación Pública LAASSP,12608756.0,MXN,2017-02-15 06:00:00.000000 +00:00,2018-01-01 05:59:00.000000 +00:00,tender_1122371,2017-02-15,2018-01-01
1344785,1253619,Super Farmacias delSureste Sa de Cv,Servicio de Medicina Magistral Ejercicio 2017,"Contrato Abierto Para la Contratación delServicio de Medicina Magistral Regimen Ordinario, Para el Ejercicio 2017",3.Servicios,7.0,Servicios,01. Licitación Pública LAASSP,2262931.03,MXN,2017-02-15 19:00:00.000000 +00:00,2017-12-31 19:00:00.000000 +00:00,tender_1127026,2017-02-15,2017-12-31
1333520,1250669,Silvia Maria Castillo Torres,La-019Gyr011-E29-2017 Mantto. Preventivo y Correctivo a Incubadoras,"C7M0039 Silvia Maria Castillo Torres  La-019Gyr011-E29-2017 Servicio de Mantenimiento Preventivo y Correctivo a Incubadoras Estacionarias y de Traslado de la Marca Intelec Modelos Ie9000 E It 2000  de Los Hospitales Hgr No. 1 Lic. Ignacio Garcia Tellez, Hgr No. 12 Lic. Benito Juarez Garcia y Hgsz/Mf 5 Tizimin, de la Delegación Yucatán Para el Ejercicio 2017.",3.Servicios,7.0,Servicios,01. Licitación Pública LAASSP,572449.95,MXN,2017-02-15 14:01:00.000000 +00:00,2018-01-01 05:59:00.000000 +00:00,tender_1124261,2017-02-15,2018-01-01
1335172,1247705,Comercializadora Integral J&B Sa de Cv,La-019Gyr014-E10-2017 Areas Verdes,La-019Gyr014-E10-2017 Areas Verdes,3.Servicios,7.0,Servicios,01. Licitación Pública LAASSP,1620663.0,MXN,2017-02-15 06:00:00.000000 +00:00,2018-01-01 05:59:00.000000 +00:00,tender_1121426,2017-02-15,2018-01-01
1335181,1247705,Jose Aaron Salas Garcia,La-019Gyr014-E10-2017 Areas Verdes,La-019Gyr014-E10-2017 Areas Verdes,3.Servicios,7.0,Servicios,01. Licitación Pública LAASSP,785558.84,MXN,2017-02-15 06:00:00.000000 +00:00,2018-01-01 05:59:00.000000 +00:00,tender_1121426,2017-02-15,2018-01-01
1335155,1247705,Construcciones Civiles de Misantla Sa de Cv,La-019Gyr014-E10-2017 Areas Verdes,La-019Gyr014-E10-2017 Areas Verdes,3.Servicios,7.0,Servicios,01. Licitación Pública LAASSP,129703.47,MXN,2017-02-15 06:00:00.000000 +00:00,2018-01-01 05:59:00.000000 +00:00,tender_1121426,2017-02-15,2018-01-01
1321565,1240906,Señalamientos y Servicios Integrales delNoroeste Sa de Cv,Conservación R.P. (59 Puentes Básica 59) Cd. Obregón-Hillo,"Conservación Rutinaria de Puentes (59 Puentes: Básica 59), Tramo: Cd. Obregón - Hermosillo, Tramos: delKm. 107+700 Al Km. 116+000 Ambos Cpos., Enlace ""T"" Empalme delKm. 0+000 Al Km. 0+500, Aeropuerto Hermosillo Km. 0+000 Al Km. 0+500, y Hermosillo - Lim. Edos Son./Chih., Tramo: delKm. 4+700 Al Km. 45+000, Hermosillo - Lim. Edos Son./Chih., Tramo: delKm. 45+000 Al Km. 350+000, En el Estado de Sonora.",4.Obra Pública,8.0,Obra Pública,04. Invitación a Cuando Menos Tres Personas LOPSRM,814817.02,MXN,2017-02-15 16:00:00.000000 +00:00,2017-12-16 07:59:00.000000 +00:00,tender_1115008,2017-02-15,2017-12-16
1334975,1251843,Conductores Monterrey Sa de Cv,La-018Toq731-E33-2017 Cables,"Plazo de Entrega: 45 Días Naturales.
 Lugar de Entrega: Almacén San Felipe
 Plazo de Pago: 20 Días Naturales.
 Condiciones de Precios: Variables 
 Condiciones de Entrega: Edf - Entrega Destino Final
 Vigencia: 12 Meses",1.Adquisiciones,5.0,Adquisiciones,01. Licitación Pública LAASSP,15150.0,MXN,2017-02-15 06:00:00.000000 +00:00,2018-01-01 05:59:00.000000 +00:00,tender_1125357,2017-02-15,2018-01-01
1331512,1251843,Condumex Sa de Cv,La-018Toq731-E33-2017 Cables,"Plazo de Entrega: 45 Días Naturales.
Lugar de Entrega: Almacén San Felipe
Plazo de Pago: 20 Días Naturales.
Condiciones de Precios: Variables 
Condiciones de Entrega: Edf - Entrega Destino Final
Vigencia: 12 Meses",1.Adquisiciones,5.0,Adquisiciones,01. Licitación Pública LAASSP,11774550.0,MXN,2017-02-15 06:00:00.000000 +00:00,2018-01-01 05:59:00.000000 +00:00,tender_1125357,2017-02-15,2018-01-01
1331515,1251843,Iusa Medicion,La-018Toq731-E33-2017 Cables,"Plazo de Entrega: 45 Días Naturales.
Lugar de Entrega: Almacén San Felipe
Plazo de Pago: 20 Días Naturales.
Condiciones de Precios: Variables 
Condiciones de Entrega: Edf - Entrega Destino Final
Vigencia: 12 Meses",1.Adquisiciones,5.0,Adquisiciones,01. Licitación Pública LAASSP,4622042.62,MXN,2017-02-15 06:00:00.000000 +00:00,2018-01-01 05:59:00.000000 +00:00,tender_1125357,2017-02-15,2018-01-01
1329822,1243763,Construcciones Jevisa Sa de Cv,Io-009000938-E225-2016,"Conservación Mediante la Reconstrucción de la Base Hidráulica, Carpeta Asfáltica y Señalamiento, En el Camino: Barrancas  Tereftalatos, En el Tramo: delKm. 0+000 Al Km. 3+100, Con Una Meta de 3.1 Km., En el Municipio de Cosoleacaque, En el Estado de Veracruz.",4.Obra Pública,8.0,Obra Pública,04. Invitación a Cuando Menos Tres Personas LOPSRM,10311935.43,MXN,2017-02-15 06:00:00.000000 +00:00,2017-08-14 04:59:00.000000 +00:00,tender_1117699,2017-02-15,2017-08-14
1290199,1243788,Constructora Cal y Arena Sa de Cv,Rehabilitación de Espacios En el Museo Casa Diego Rivera (Bodega y Ágora),"Cambio delPortón Existente de Acceso a la Cochera En la Fachada Principal, la Ejecución de Bodega En Primer y Segundo Nivel y Patio de Planta Baja O Ágora.",4.Obra Pública 09012017,8.0,Obra Pública,06. Adjudicación Directa LOPSRM,861991.91,MXN,2017-02-15 13:00:00.000000 +00:00,2017-08-16 04:59:00.000000 +00:00,tender_1117729,2017-02-15,2017-08-16
1344786,1228324,Alfredo Garcia Mendoza,La-019Gyr009-E885-2016 Adq. y Sum. de Víveres (2Da Convocatoria),La-019Gyr009-E885-2016 Adq. y Sum. de Víveres (2Da Convocatoria),1.Adquisiciones,5.0,Adquisiciones,01. Licitación Pública LAASSP,800535.73,MXN,2017-02-15 15:00:00.000000 +00:00,2017-12-31 23:00:00.000000 +00:00,tender_1103133,2017-02-15,2017-12-31
1344936,1228324,Gloria Morales Solis,La-019Gyr009-E885-2016 Adq. y Sum. de Víveres (2Da Convocatoria),La-019Gyr009-E885-2016 Adq. y Sum. de Víveres (2Da Convocatoria),1.Adquisiciones,5.0,Adquisiciones,01. Licitación Pública LAASSP,3166410.19,MXN,2017-02-15 15:00:00.000000 +00:00,2017-12-31 23:00:00.000000 +00:00,tender_1103133,2017-02-15,2017-12-31
1345056,1228324,Gloria Morales Solis,La-019Gyr009-E885-2016 Adq. y Sum. de Víveres (2Da Convocatoria),La-019Gyr009-E885-2016 Adq. y Sum. de Víveres (2Da Convocatoria),1.Adquisiciones,5.0,Adquisiciones,01. Licitación Pública LAASSP,1163674.06,MXN,2017-02-15 15:00:00.000000 +00:00,2017-12-31 23:00:00.000000 +00:00,tender_1103133,2017-02-15,2017-12-31
1344719,1228324,Rita Beatriz Olague Gallegos,La-019Gyr009-E885-2016 Adq. y Sum. de Víveres (2Da Convocatoria),La-019Gyr009-E885-2016 Adq. y Sum. de Víveres (2Da Convocatoria),1.Adquisiciones,5.0,Adquisiciones,01. Licitación Pública LAASSP,302658.39,MXN,2017-02-15 15:00:00.000000 +00:00,2017-12-31 23:00:00.000000 +00:00,tender_1103133,2017-02-15,2017-12-31
1344855,1228324,Carnes Finas San Andres Sa de Cv,La-019Gyr009-E885-2016 Adq. y Sum. de Víveres (2Da Convocatoria),La-019Gyr009-E885-2016 Adq. y Sum. de Víveres (2Da Convocatoria),1.Adquisiciones,5.0,Adquisiciones,01. Licitación Pública LAASSP,265900.77,MXN,2017-02-15 15:00:00.000000 +00:00,2017-12-31 23:00:00.000000 +00:00,tender_1103133,2017-02-15,2017-12-31
1467278,1245998,Iq Medicals de R.L. de C.V.,Servicio Integral de Hemodinamia,Servicio Integral de Hemodinamia,3.Servicios,7.0,Servicios,01. Licitación Pública LAASSP,818965.0,MXN,2017-02-15 06:00:00.000000 +00:00,2017-07-01 04:59:00.000000 +00:00,tender_1119795,2017-02-15,2017-07-01
1327846,1243953,Hemansu,Io-009000938-E245-2016,"Trabajos de Conservación Rutinaria Anual 2017, En 103.60 Kms.; En 85.50 Kms. de Corredores Km. 7+500 Al Km. 20+300, Km. 0+000 Al Km. 6+000 y Km. 26+300 Al Km. 93+000, Tramos: Poza Rica - Nautla, Libramiento Papantla y En 18.10 Kms. de Red Secundaria Federal, Km. 0+000 Al Km. 6+000, y Km. 0+000 Al Km. 12+100, Tramos: Ramal la Guadalupe  Riachuelos y Gutiérrez Zamora - Tecolutla, Carretera: Poza Rica - Veracruz En el Estado de Veracruz",4.Obra Pública,8.0,Obra Pública,04. Invitación a Cuando Menos Tres Personas LOPSRM,3787658.55,MXN,2017-02-15 06:00:00.000000 +00:00,2018-01-01 05:59:00.000000 +00:00,tender_1117877,2017-02-15,2018-01-01
1327853,1243954,Construccion Operaciones Servicios y Proyectos Cosyp Sa de Cv,Io-009000938-E246-2016,"Trabajos de Conservación Rutinaria Anual 2017, En 53.59 Kms.; de Red Básica Federal, Km. 0+000 Al Km. 31+000 y Km. 34+510 Al Km. 57+100, Tramo: Tihuatlán  Álamo  Alazán, Carretera: Tihuatlán  Alazán, En el Estado de Veracruz",4.Obra Pública,8.0,Obra Pública,04. Invitación a Cuando Menos Tres Personas LOPSRM,1920747.9,MXN,2017-02-15 06:00:00.000000 +00:00,2018-01-01 05:59:00.000000 +00:00,tender_1117878,2017-02-15,2018-01-01
1327856,1243955,Construccion Operaciones Servicios y Proyectos Cosyp Sa de Cv,Io-009000938-E247-2016,"Trabajos de Conservación Rutinaria Anual 2017, En 70.80 Kms.; En 70.0 Kms. de Corredores, Km. 45+000 Al Km. 115+000, Tramo: Alazán  Tampico, Carretera: Tuxpan  Tampico y 0.80 Km. de Red Secundaria Federal, Km. 0+000 Al Km. 0+800, Tramo: Ramal a Cerro Azul, Carretera: Tuxpan  Tampico En el Estado de Veracruz",4.Obra Pública,8.0,Obra Pública,04. Invitación a Cuando Menos Tres Personas LOPSRM,2676300.86,MXN,2017-02-15 06:00:00.000000 +00:00,2018-01-01 05:59:00.000000 +00:00,tender_1117879,2017-02-15,2018-01-01
1355384,1252459,Servicios Medicos y Tecnicos Sa de Cv,Convocatoria Para la Adquisición de Consumibles de Equipo Medico,Convocatoria Para la Adquisición de Consumibles de Equipo Medico,1.Adquisiciones,5.0,Adquisiciones,01. Licitación Pública LAASSP,15820.0,MXN,2017-02-15 18:00:00.000000 +00:00,2017-12-31 18:00:00.000000 +00:00,tender_1125946,2017-02-15,2017-12-31
1355362,1252459,Proveedora Maho Sa de Cv,Convocatoria Para la Adquisición de Consumibles de Equipo Medico,Convocatoria Para la Adquisición de Consumibles de Equipo Medico,1.Adquisiciones,5.0,Adquisiciones,01. Licitación Pública LAASSP,13120.0,MXN,2017-02-15 18:00:00.000000 +00:00,2017-12-31 18:00:00.000000 +00:00,tender_1125946,2017-02-15,2017-12-31
1355369,1252459,Comercializadora Lini Sa de Cv,Convocatoria Para la Adquisición de Consumibles de Equipo Medico,Convocatoria Para la Adquisición de Consumibles de Equipo Medico,1.Adquisiciones,5.0,Adquisiciones,01. Licitación Pública LAASSP,12000.0,MXN,2017-02-15 18:00:00.000000 +00:00,2017-12-31 18:00:00.000000 +00:00,tender_1125946,2017-02-15,2017-12-31
1355375,1252459,Distribuidora Internacional de Medicamentos y Equipo Medico Sa de Cv,Convocatoria Para la Adquisición de Consumibles de Equipo Medico,Convocatoria Para la Adquisición de Consumibles de Equipo Medico,1.Adquisiciones,5.0,Adquisiciones,01. Licitación Pública LAASSP,2017391.76,MXN,2017-02-15 18:00:00.000000 +00:00,2017-12-31 18:00:00.000000 +00:00,tender_1125946,2017-02-15,2017-12-31
1323274,1242894,Constructora Sathie,Const  Lrd Media y Baja Tensión y Mejoras a Inst. Red Dist. Zona Matehuala,"Construcción de Líneas y Redes de Distribución En Media y Baja Tensión de 13.8 y 34.5 Kv En el Año 2017, y Mejoras a Las Instalaciones de Red de Distribución, En el Ámbito Geográfico de la Zona Matehuala",4.Obra Pública,8.0,Obra Pública,04. Invitación a Cuando Menos Tres Personas LOPSRM,1189182.15,MXN,2017-02-15 14:00:00.000000 +00:00,2018-01-01 05:59:00.000000 +00:00,tender_1116870,2017-02-15,2018-01-01
1318496,1243875,Grupo Faruve Sa de Cv,Io-009000938-E229-2016,"Reconstrucción de la Base Hidráulica y Carpeta Asfáltica, En el Camino: Alborada - Bella Esperanza, delKm 0+000 Al Km 3+400, Con Una Meta de 3.4 Km., En el Municipio de Coatepec, En el Estado de Veracruz y Reconstrucción de la Base Hidráulica y Carpeta Asfáltica, En el Camino: Alborada - Estanzuela, delKm 0+000 Al Km 2+900, Con Una Meta de 2.9 Km., En el Municipio de Coatepec, En el Estado de Veracruz",4.Obra Pública,8.0,Obra Pública,04. Invitación a Cuando Menos Tres Personas LOPSRM,10499762.36,MXN,2017-02-15 06:00:00.000000 +00:00,2017-08-14 04:59:00.000000 +00:00,tender_1117804,2017-02-15,2017-08-14
1297863,1229491,Emmanuel Enrique Hernandez Espinosa,Supervision Externa de la Obra: Construccion delPalacio de la Musica,"Supervision Externa de la Obra: Construccion delPalacio de la Musica En la Localidad y Municipio de Merida, Yucatan",5.Servicios relacionados con la obra pública 09012017,9.0,Servicios Relacionados con la OP,04. Invitación a Cuando Menos Tres Personas LOPSRM,1567205.72,MXN,2017-02-15 06:00:00.000000 +00:00,2017-10-31 05:59:00.000000 +00:00,tender_1104237,2017-02-15,2017-10-31
1318414,1243857,Construcciones Jebro de Mexico Sa de Cv,Io-009000938-E227-2016,"Reconstrucción de la Base Hidráulica y Carpeta Asfáltica En el Camino: Sierra de Agua - Ejido 20 de Noviembre, delKm 0+000 Al Km 2+600, Con Una Meta de 2.6 Km.,  En el Municipio de Perote, En el Estado de Veracruz",4.Obra Pública,8.0,Obra Pública,04. Invitación a Cuando Menos Tres Personas LOPSRM,5189032.81,MXN,2017-02-15 06:00:00.000000 +00:00,2017-07-15 04:59:00.000000 +00:00,tender_1117787,2017-02-15,2017-07-15
1403536,1341948,Constructora Geofisica Rmg Sa de Cv,Trab Mant Relativo a la Sustitucion de Letreros Informativos Para Buzon,Trab Mant Relativo a la Sustitucion de Letreros Informativos Para Buzon,3.Servicios,7.0,Servicios,05. Adjudicación Directa LAASSP,98735.06,MXN,2017-02-15 06:00:00.000000 +00:00,2017-03-01 05:59:00.000000 +00:00,tender_1210151,2017-02-15,2017-03-01
1412839,1349229,Industrial Aceitera Sa de Cv,Aceite Vegetal,Sin Dato,1.Adquisiciones,5.0,Adquisiciones,05. Adjudicación Directa LAASSP,76200.0,MXN,2017-02-15 06:00:00.000000 +00:00,2017-02-26 05:59:00.000000 +00:00,tender_1217055,2017-02-15,2017-02-26
1413678,1349911,"Empacadora Nor-Ver, S.A. de C.V.",Azucar Estandar,Compra Para Antender Requerimientos delPrograma de Abasto Rural,1.Adquisiciones,5.0,Adquisiciones,05. Adjudicación Directa LAASSP,420000.0,MXN,2017-02-15 06:00:00.000000 +00:00,2017-02-26 05:59:00.000000 +00:00,tender_1217712,2017-02-15,2017-02-26
1474923,1352395,"Farmaceuticos Maypo, S.A. de C.V.",Adjudicación Directa de Material Para Cirugía de Hemodinamia,Adquisicion de Medicamento,1.Adquisiciones,5.0,Adquisiciones,05. Adjudicación Directa LAASSP,78468.0,MXN,2017-02-15 06:00:00.000000 +00:00,2017-02-23 05:59:00.000000 +00:00,tender_1220084,2017-02-15,2017-02-23
1407958,1345458,"Langre, Camarena y Asociados Sa de Cv",Servicio Integral Para Llevar a Cabo la Sesion de Estrategia 2017,Servicio Integral Para Llevar a Cabo la Sesion de Estrategia 2017,3.Servicios,7.0,Servicios,05. Adjudicación Directa LAASSP,832500.0,MXN,2017-02-15 06:00:00.000000 +00:00,2017-03-01 05:59:00.000000 +00:00,tender_1213475,2017-02-15,2017-03-01
1396682,1336098,"Grupo Industrial Maseca, S.A.B. de C.V.",Harina de Maiz Mimasa,Compra Para Atender Requerimientos delPrograma de Abasto Rural,1.Adquisiciones,5.0,Adquisiciones,05. Adjudicación Directa LAASSP,216000.0,MXN,2017-02-15 06:00:00.000000 +00:00,2017-02-26 05:59:00.000000 +00:00,tender_1204562,2017-02-15,2017-02-26
1396828,1336147,"Aceites Grasas y Derivados, S.A. de C.V.",Aceite Vegetal Comestible,Compra Para Antender Requerimientos delPrograma de Abasto Rural,1.Adquisiciones,5.0,Adquisiciones,05. Adjudicación Directa LAASSP,222600.0,MXN,2017-02-15 06:00:00.000000 +00:00,2017-02-26 05:59:00.000000 +00:00,tender_1204608,2017-02-15,2017-02-26
